FID,x_ft,y_ft
749,2505712.857,1675675.335
750,2505701.277,1675684.87
751,2505689.697,1675694.405
752,2505678.118,1675703.939
753,2505666.538,1675713.474
754,2505654.958,1675723.009
755,2505643.379,1675732.543
756,2505631.799,1675742.078
757,2505620.219,1675751.613
758,2505608.64,1675761.147
759,2505597.06,1675770.682
760,2505585.48,1675780.217
761,2505573.901,1675789.752
762,2505562.321,1675799.286
763,2505550.747,1675808.828
764,2505539.174,1675818.371
765,2505527.602,1675827.914
766,2505516.029,1675837.457
767,2505504.456,1675847
768,2505492.883,1675856.543
769,2505481.311,1675866.087
770,2505469.738,1675875.63
771,2505458.165,1675885.173
772,2505446.592,1675894.716
773,2505435.02,1675904.259
774,2505423.447,1675913.802
775,2505411.874,1675923.345
776,2505400.301,1675932.888
777,2505388.729,1675942.431
778,2505377.156,1675951.974
779,2505365.583,1675961.517
780,2505354.01,1675971.06
781,2505342.438,1675980.604
782,2505330.865,1675990.147
783,2505319.292,1675999.69
784,2505307.719,1676009.233
785,2505296.147,1676018.776
786,2505284.574,1676028.319
787,2505273.001,1676037.862
788,2505261.428,1676047.405
789,2505249.856,1676056.948
790,2505238.283,1676066.491
791,2505226.71,1676076.034
792,2505215.137,1676085.578
793,2505203.565,1676095.121
794,2505191.992,1676104.664
795,2505180.419,1676114.207
796,2505168.846,1676123.75
797,2505157.274,1676133.293
798,2505145.701,1676142.836
799,2505134.128,1676152.379
800,2505122.555,1676161.922
801,2505110.983,1676171.465
802,2505099.41,1676181.008
803,2505087.837,1676190.551
804,2505076.264,1676200.095
805,2505064.692,1676209.638
806,2505053.119,1676219.181
807,2505041.546,1676228.724
808,2505029.973,1676238.267
809,2505018.401,1676247.81
810,2505006.828,1676257.353
811,2504995.255,1676266.896
812,2504983.682,1676276.439
813,2504972.11,1676285.982
814,2504960.537,1676295.525
815,2504948.964,1676305.068
816,2504937.391,1676314.612
817,2504925.819,1676324.155
818,2504914.197,1676333.638
819,2504902.556,1676343.098
820,2504890.915,1676352.557
821,2504879.274,1676362.017
822,2504867.599,1676371.435
823,2504855.914,1676380.84
824,2504844.229,1676390.246
825,2504832.545,1676399.652
826,2504820.86,1676409.057
827,2504809.175,1676418.463
828,2504797.49,1676427.868
829,2504785.806,1676437.274
830,2504774.121,1676446.68
831,2504762.436,1676456.085
832,2504750.751,1676465.491
833,2504739.112,1676474.953
834,2504727.492,1676484.438
835,2504715.872,1676493.923
836,2504704.315,1676503.485
837,2504692.836,1676513.141
838,2504681.39,1676522.835
839,2504669.981,1676532.574
840,2504658.572,1676542.312
841,2504647.179,1676552.069
842,2504635.789,1676561.83
843,2504624.4,1676571.591
